Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       71     0.00     0.00  isCharLeagal(char)
  0.00      0.00     0.00       60     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<Point, Point>*, std::vector<std::pair<Point, Point>, std::allocator<std::pair<Point, Point> > > >::base() const
  0.00      0.00     0.00       57     0.00     0.00  Point::Point()
  0.00      0.00     0.00       56     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&& std::forward<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::type&)
  0.00      0.00     0.00       51     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00       47     0.00     0.00  std::pair<Point, Point>&& std::forward<std::pair<Point, Point> >(std::remove_reference<std::pair<Point, Point> >::type&)
  0.00      0.00     0.00       46     0.00     0.00  std::move_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>::base() const
  0.00      0.00     0.00       45     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::size() const
  0.00      0.00     0.00       43     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__addressof<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.00     0.00       40     0.00     0.00  std::move_iterator<std::pair<Point, Point>*>::base() const
  0.00      0.00     0.00       30     0.00     0.00  bool __gnu_cxx::operator!=<std::pair<Point, Point>*, std::vector<std::pair<Point, Point>, std::allocator<std::pair<Point, Point> > > >(__gnu_cxx::__normal_iterator<std::pair<Point, Point>*, std::vector<std::pair<Point, Point>, std::allocator<std::pair<Point, Point> > > > const&, __gnu_cxx::__normal_iterator<std::pair<Point, Point>*, std::vector<std::pair<Point, Point>, std::allocator<std::pair<Point, Point> > > > const&)
  0.00      0.00     0.00       27     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<Point, Point>*, std::vector<std::pair<Point, Point>, std::allocator<std::pair<Point, Point> > > >::operator++()
  0.00      0.00     0.00       27     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<Point, Point>*, std::vector<std::pair<Point, Point>, std::allocator<std::pair<Point, Point> > > >::operator*() const
  0.00      0.00     0.00       27     0.00     0.00  void std::_Destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.00     0.00       25     0.00     0.00  std::vector<std::pair<Point, Point>, std::allocator<std::pair<Point, Point> > >::size() const
  0.00      0.00     0.00       23     0.00     0.00  bool std::operator==<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::move_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*> const&, std::move_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*> const&)
  0.00      0.00     0.00       23     0.00     0.00  bool std::operator!=<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::move_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*> const&, std::move_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*> const&)
  0.00      0.00     0.00       21     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::max_size() const
  0.00      0.00     0.00       20     0.00     0.00  bool std::operator==<std::pair<Point, Point>*>(std::move_iterator<std::pair<Point, Point>*> const&, std::move_iterator<std::pair<Point, Point>*> const&)
  0.00      0.00     0.00       20     0.00     0.00  bool std::operator!=<std::pair<Point, Point>*>(std::move_iterator<std::pair<Point, Point>*> const&, std::move_iterator<std::pair<Point, Point>*> const&)
  0.00      0.00     0.00       18     0.00     0.00  coordinateMap(Point)
  0.00      0.00     0.00       18     0.00     0.00  Road::Road()
  0.00      0.00     0.00       18     0.00     0.00  Point& std::forward<Point&>(std::remove_reference<Point&>::type&)
